estacao=Bauru (automatica) (9000392)
municipio=Bauru (3506003)
latitude=-22,3166
longitude=-49,0666
altitude=517,0m 

* variaveis calculadas pelo sistema 

data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; precipitacao ; precipitacao Estimada ; estiagem* ; estiagemAgricola* ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; evapotranspiracaoPotencial ; radiacaoSolar ; velocidadeVento ; direcaoVento ; horarioVento ; pontoOrvalhoMinimo ; pontoOrvalhoMaximo ; pressaoAtmMinima ; pressaoAtmMaxima ; evapotranspiracaoReal* ; disponibilidadeAguaSolo*
31/12/2022;19,3;não;25,8;não;32,3;não;0,0;não;2;2;;não;;não;4,97;15,89;0,4;107,0;22:00:00;;;940,7;945,4;4,62;90,75
30/12/2022;20,1;não;25,6;não;31,1;não;0,0;não;1;1;;não;;não;4,74;16,45;0,0;91,0;23:00:00;;;940,1;944,3;4,63;95,37
29/12/2022;18,9;não;23,6;não;28,3;não;23,8;não;0;0;;não;;não;3,62;14,6;0,0;37,0;23:00:00;;;939,1;943,4;3,62;100,0
28/12/2022;21,1;não;25,9;não;30,7;não;11,4;não;0;0;;não;;não;4,38;10,84;3,0;56,0;23:00:00;;;937,0;941,8;4,38;100,0
27/12/2022;20,5;não;25,35;não;30,2;não;3,0;não;0;3;;não;;não;4,24;13,95;1,2;41,0;23:00:00;;;937,7;942,6;4,17;93,99
26/12/2022;19,7;não;23,7;não;27,7;não;0,6;não;1;2;;não;;não;3,27;11,06;1,1;69,0;23:00:00;;;938,5;943,1;3,18;95,16
25/12/2022;18,3;não;25,0;não;31,7;não;2,6;não;0;1;;não;;não;4,89;21,8;3,1;211,0;23:00:00;;;938,1;942,8;4,86;97,74
24/12/2022;17,2;não;24,4;não;31,6;não;44,2;não;0;0;;não;;não;4,97;24,18;1,5;158,0;23:00:00;;;938,1;943,2;4,97;100,0
23/12/2022;16,4;não;24,15;não;31,9;não;53,0;não;0;0;;não;;não;5,14;24,95;1,6;117,0;23:00:00;;;935,2;942,6;5,14;100,0
22/12/2022;14,9;não;22,0;não;29,1;não;0,0;não;2;9;42,0;não;90,0;não;4,62;26,89;2,1;143,0;23:00:00;12,9;16,1;938,8;942,3;3,32;70,15
21/12/2022;15,5;não;22,05;não;28,6;não;0,0;não;1;8;46,0;não;100,0;não;4,28;21,0;2,1;154,0;23:00:00;14,4;17,7;936,5;941,1;3,21;73,47
20/12/2022;18,2;não;24,1;não;30,0;não;1,4;não;0;7;;não;;não;4,52;18,74;2,1;194,0;22:00:00;;;936,3;941,1;3,83;76,68
19/12/2022;19,1;não;22,25;não;25,4;não;1,4;não;0;6;67,0;não;100,0;não;2,49;9,39;0,8;116,0;23:00:00;17,0;21,1;939,0;942,6;2,27;79,11
18/12/2022;18,2;não;25,2;não;32,2;não;0,4;não;5;5;39,0;não;86,0;não;5,05;21,57;1,5;171,0;23:00:00;15,6;20,2;936,9;941,4;4,21;79,98
17/12/2022;17,6;não;24,85;não;32,1;não;0,0;não;4;4;31,0;não;99,0;não;5,08;28,06;1,1;97,0;23:00:00;12,5;17,5;935,2;938,7;4,36;83,79
16/12/2022;17,9;não;24,55;não;31,2;não;0,0;não;3;3;;não;;não;4,78;21,8;1,3;188,0;23:00:00;;;933,9;939,1;4,32;88,15
15/12/2022;16,3;não;23,65;não;31,0;não;0,0;não;2;2;37,0;não;86,0;não;4,88;25,05;0,6;207,0;23:00:00;12,6;19,2;936,8;941,6;4,62;92,47
14/12/2022;17,9;não;22,6;não;27,3;não;0,4;não;1;1;;não;;não;3,35;21,08;1,4;103,0;23:00:00;;;936,5;946,4;3,31;97,09
13/12/2022;20,3;não;23,95;não;27,6;não;23,4;não;0;0;;não;;não;3,14;8,32;1,2;110,0;23:00:00;;;934,0;937,8;3,14;100,0
12/12/2022;21,3;não;25,4;não;29,5;não;13,0;não;0;0;;não;;não;3,8;8,37;0,1;68,0;23:00:00;;;935,3;939,6;3,8;89,99
11/12/2022;22,0;não;27,05;não;32,1;não;2,6;não;0;5;;não;;não;4,63;16,74;1,6;207,0;23:00:00;;;936,7;940,9;4,26;80,79
10/12/2022;21,8;não;28,45;não;35,1;não;0,0;não;3;4;26,0;não;88,0;não;5,49;26,04;0,5;262,0;23:00:00;11,9;20,2;936,0;941,3;4,65;82,45
09/12/2022;20,5;não;27,75;não;35,0;não;0,0;não;2;3;26,0;não;100,0;não;5,57;23,84;1,5;183,0;23:00:00;11,5;21,0;935,7;940,4;4,99;87,1
08/12/2022;18,9;não;26,05;não;33,2;não;0,0;não;1;2;;não;;não;5,26;26,36;0,0;186,0;23:00:00;;;935,8;940,7;4,97;92,09
07/12/2022;20,8;não;25,5;não;30,2;não;1,2;não;0;1;;não;;não;4,18;16,53;0,2;176,0;23:00:00;;;937,6;943,3;4,14;97,06
06/12/2022;20,6;não;23,65;não;26,7;não;36,4;não;0;0;;não;;não;2,76;9,93;1,7;281,0;21:00:00;;;940,4;944,6;2,76;100,0
05/12/2022;20,5;não;22,65;não;24,8;não;6,0;não;0;1;;não;;não;2,13;8,48;0,9;31,0;23:00:00;;;938,8;942,1;2,13;100,0
04/12/2022;19,8;não;23,95;não;28,1;não;19,2;não;0;0;;não;;não;3,4;14,2;0,2;353,0;23:00:00;;;936,6;941,4;3,4;100,0
03/12/2022;20,1;não;24,15;não;28,2;não;3,2;não;0;1;;não;;não;3,4;10,27;0,3;23,0;23:00:00;;;937,3;942,9;3,39;95,57
02/12/2022;18,9;não;24,25;não;29,6;não;63,2;não;0;0;;não;;não;4,18;12,93;0,9;43,0;23:00:00;;;936,8;941,6;4,18;95,76
01/12/2022;17,4;não;23,8;não;30,2;não;4,8;não;0;1;;não;;não;4,71;20,06;0,5;98,0;23:00:00;;;933,0;938,5;4,71;36,74
30/11/2022;17,7;não;23,65;não;29,6;não;14,0;não;0;0;;não;;não;4,37;18,82;0,6;86,0;23:00:00;;;931,1;935,5;4,37;36,65
29/11/2022;16,5;não;24,1;não;31,7;não;0,2;não;2;2;;não;;não;5,07;23,76;3,6;55,0;23:00:00;;;929,4;935,9;1,55;27,02
28/11/2022;17,7;não;23,65;não;29,6;não;0,4;não;1;1;;não;;não;4,36;20,83;2,2;73,0;23:00:00;;;932,9;939,5;1,54;28,37
27/11/2022;16,7;não;24,15;não;31,6;não;11,8;não;0;0;;não;;não;5,02;20,95;1,6;89,0;22:00:00;;;936,6;941,3;5,02;29,51
26/11/2022;14,3;não;22,55;não;30,8;não;0,0;não;5;12;28,0;não;100,0;não;5,02;26,66;0,7;152,0;23:00:00;9,9;15,6;938,5;942,9;1,17;22,73
25/11/2022;16,2;não;23,2;não;30,2;não;0,0;não;4;11;35,0;não;100,0;não;4,64;27,33;2,3;131,0;23:00:00;12,2;17,2;938,7;942,6;1,14;23,9
24/11/2022;17,2;não;24,4;não;31,6;não;0,8;não;3;10;;não;;não;4,97;20,59;1,6;172,0;23:00:00;;;936,7;940,8;1,87;25,04
23/11/2022;19,3;não;25,25;não;31,2;não;0,0;não;2;9;;não;;não;4,63;18,58;2,6;203,0;23:00:00;;;936,8;942,0;1,23;26,11
22/11/2022;20,3;não;25,95;não;31,6;não;0,6;não;1;8;39,0;não;98,0;não;4,65;13,91;0,7;36,0;23:00:00;15,3;22,6;938,7;942,2;1,73;27,34
21/11/2022;18,1;não;25,7;não;33,3;não;2,4;não;0;7;32,0;não;100,0;não;5,36;23,37;0,8;148,0;23:00:00;13,8;21,0;937,5;943,0;3,26;28,47
20/11/2022;16,8;não;24,8;não;32,8;não;0,0;não;6;6;29,0;não;97,0;não;5,34;26,92;0,1;111,0;23:00:00;12,0;16,6;939,1;943,6;1,61;29,33
19/11/2022;15,8;não;24,75;não;33,7;não;0,6;não;5;5;29,0;não;83,0;não;5,62;25,55;1,8;76,0;23:00:00;11,0;19,0;938,3;944,5;2,19;30,94
18/11/2022;15,9;não;24,45;não;33,0;não;0,0;não;4;4;29,0;não;80,0;não;5,46;27,0;2,7;149,0;23:00:00;9,3;14,3;939,3;944,4;1,83;32,53
17/11/2022;16,1;não;24,0;não;31,9;não;0,0;não;3;3;21,0;não;64,0;não;5,16;27,94;1,6;122,0;21:00:00;6,3;15,3;940,5;944,9;1,82;34,36
16/11/2022;15,5;não;23,95;não;32,4;não;0,0;não;2;2;21,0;não;95,0;não;5,35;27,37;2,1;150,0;23:00:00;6,7;16,4;940,6;944,1;1,98;36,18
15/11/2022;18,1;não;25,05;não;32,0;não;0,0;não;1;1;25,0;não;99,0;não;5,0;25,84;1,4;224,0;23:00:00;7,5;18,8;940,1;945,1;1,96;38,16
14/11/2022;18,0;não;24,25;não;30,5;não;12,4;não;0;0;;não;;não;4,68;21,11;1,4;222,0;23:00:00;;;937,1;940,5;4,68;40,12
13/11/2022;18,2;não;25,6;não;33,0;não;0,0;não;13;13;34,0;não;97,0;não;5,27;19,62;2,0;33,0;19:00:00;14,4;18,0;936,4;941,0;1,76;32,4
12/11/2022;17,1;não;24,6;não;32,1;não;0,0;não;12;12;;não;;não;5,13;21,99;1,8;192,0;21:00:00;;;938,2;943,6;1,8;34,16
11/11/2022;17,3;não;22,4;não;27,5;não;0,0;não;11;11;40,0;não;86,0;não;3,41;11,01;0,1;81,0;23:00:00;10,1;17,9;939,4;942,8;1,24;35,96
10/11/2022;16,1;não;25,1;não;34,1;não;0,0;não;10;10;21,0;não;80,0;não;5,68;26,57;0,9;158,0;23:00:00;5,9;16,7;939,0;944,4;2,18;37,2
09/11/2022;14,1;não;23,2;não;32,3;não;0,0;não;9;9;20,0;não;83,0;não;5,44;25,18;0,5;223,0;23:00:00;5,7;12,6;938,5;944,1;2,2;39,38
08/11/2022;12,4;não;20,9;não;29,4;não;0,0;não;8;8;19,0;não;85,0;não;4,79;27,01;1,1;179,0;23:00:00;2,4;10,8;939,4;945,8;2,04;41,58
07/11/2022;12,0;não;20,35;não;28,7;não;0,0;não;7;7;19,0;não;87,0;não;4,61;27,8;0,5;152,0;23:00:00;2,5;11,6;941,7;946,4;2,06;43,62
06/11/2022;13,6;não;19,9;não;26,2;não;0,0;não;6;6;35,0;não;79,0;não;3,36;19,3;1,2;152,0;23:00:00;8,7;11,5;943,1;947,2;1,56;45,68
05/11/2022;10,9;não;19,0;não;27,1;não;0,0;não;5;5;30,0;não;96,0;não;4,13;26,34;1,3;111,0;23:00:00;7,0;11,2;941,4;947,2;1,99;47,24
04/11/2022;10,1;não;18,0;não;25,9;não;0,0;não;4;4;30,0;não;99,0;não;3,71;27,56;1,7;155,0;23:00:00;5,5;10,8;943,6;949,0;1,86;49,23
03/11/2022;12,8;não;18,05;não;23,3;não;0,0;não;3;3;44,0;não;81,0;não;2,39;19,44;2,3;136,0;23:00:00;9,2;10,9;946,5;949,8;1,23;51,09
02/11/2022;13,4;não;17,15;não;20,9;não;0,2;não;2;2;54,0;não;83,0;não;1,63;13,7;2,6;142,0;23:00:00;10,3;12,2;946,3;949,4;0,96;52,32
01/11/2022;16,4;não;19,8;não;23,2;não;0,0;não;1;1;;não;;não;1,98;11,67;2,3;144,0;23:00:00;;;939,7;947,1;1,06;53,08
31/10/2022;18,8;não;22,35;não;25,9;não;12,0;não;0;0;;não;;não;2,58;6,65;1,8;211,0;23:00:00;;;935,5;940,1;2,58;54,14
30/10/2022;18,1;não;25,0;não;31,9;não;3,0;não;0;9;;não;;não;4,97;21,41;0,2;357,0;23:00:00;;;934,2;941,5;3,89;44,72
29/10/2022;19,0;não;26,65;não;34,3;não;6,4;não;0;8;33,0;não;100,0;não;5,52;21,03;0,9;137,0;23:00:00;14,7;23,7;935,0;942,1;5,52;45,61
28/10/2022;19,6;não;26,4;não;33,2;não;0,0;não;7;7;33,0;não;84,0;não;5,2;19,59;1,6;36,0;23:00:00;14,0;18,7;938,5;946,9;2,39;44,73
27/10/2022;19,4;não;27,8;não;36,2;não;0,0;não;6;6;24,0;não;79,0;não;5,87;22,32;2,9;217,0;23:00:00;10,6;17,8;938,0;941,5;2,85;47,12
26/10/2022;14,4;não;24,05;não;33,7;não;0,0;não;5;5;25,0;não;95,0;não;5,72;25,79;0,0;196,0;23:00:00;10,7;16,9;937,4;945,8;2,94;49,97
25/10/2022;16,0;não;23,65;não;31,3;não;0,0;não;4;4;26,0;não;88,0;não;5,0;26,16;0,4;157,0;23:00:00;8,6;16,0;939,8;944,7;2,71;52,91
24/10/2022;15,9;não;24,05;não;32,2;não;0,0;não;3;3;23,0;não;100,0;não;5,26;25,95;0,3;152,0;23:00:00;8,2;17,4;939,9;944,8;3,01;55,62
23/10/2022;16,4;não;23,95;não;31,5;não;0,0;não;2;2;27,0;não;96,0;não;5,02;26,52;1,2;187,0;23:00:00;9,6;17,2;941,1;945,4;3,01;58,63
22/10/2022;17,9;não;24,25;não;30,6;não;0,0;não;1;1;;não;;não;4,58;24,27;1,4;178,0;23:00:00;;;938,1;942,6;2,89;61,64
21/10/2022;19,0;não;23,0;não;27,0;não;20,4;não;0;0;;não;;não;2,89;9,77;2,2;305,0;23:00:00;;;937,1;940,9;2,89;64,53
20/10/2022;17,7;não;24,2;não;30,7;não;0,0;não;1;13;42,0;não;100,0;não;4,64;17,84;1,6;47,0;23:00:00;16,0;20,3;936,6;942,7;2,24;47,02
19/10/2022;18,0;não;22,7;não;27,4;não;4,2;não;0;12;;não;;não;3,16;13,14;1,7;64,0;23:00:00;;;941,4;946,6;3,16;49,26
18/10/2022;18,3;não;21,6;não;24,9;não;0,6;não;6;11;64,0;não;100,0;não;2,25;6,13;2,0;94,0;23:00:00;15,0;19,9;941,5;947,6;1,4;48,22
17/10/2022;18,4;não;25,55;não;32,7;não;0,0;não;5;10;29,0;não;93,0;não;5,17;19,73;0,8;112,0;23:00:00;12,3;18,3;939,8;943,6;2,6;49,02
16/10/2022;17,9;não;24,9;não;31,9;não;0,0;não;4;9;33,0;não;93,0;não;4,99;19,22;2,4;148,0;23:00:00;13,2;18,4;939,8;947,1;2,64;51,62
15/10/2022;18,6;não;23,3;não;28,0;não;0,2;não;3;8;48,0;não;81,0;não;3,29;19,4;1,6;126,0;23:00:00;14,2;17,1;945,9;949,9;1,9;54,26
14/10/2022;19,1;não;26,5;não;33,9;não;0,0;não;2;7;27,0;não;81,0;não;5,42;23,21;2,9;141,0;23:00:00;11,6;18,5;943,7;948,0;3,12;55,96
13/10/2022;18,1;não;24,55;não;31,0;não;0,2;não;1;6;34,0;não;100,0;não;4,69;15,04;2,2;183,0;23:00:00;12,9;19,4;942,7;946,4;2,91;59,08
12/10/2022;18,0;não;21,25;não;24,5;não;6,8;não;0;5;;não;;não;2,13;7,51;0,8;111,0;23:00:00;;;942,0;946,9;2,13;61,79
11/10/2022;19,0;não;24,1;não;29,2;não;0,0;não;4;4;49,0;não;99,0;não;3,7;13,83;0,0;181,0;23:00:00;16,9;20,3;942,4;947,0;2,15;57,12
10/10/2022;18,2;não;22,6;não;27,0;não;0,0;não;3;3;56,0;não;100,0;não;2,93;11,76;1,9;60,0;23:00:00;16,5;19,9;943,9;947,8;1,77;59,27
09/10/2022;16,2;não;22,75;não;29,3;não;0,0;não;2;2;39,0;não;72,0;não;4,13;11,17;0,6;346,0;23:00:00;9,2;17,4;940,4;944,0;2,57;61,04
08/10/2022;14,0;não;21,6;não;29,2;não;0,0;não;1;1;27,0;não;100,0;não;4,41;22,29;0,1;341,0;23:00:00;7,1;15,2;939,2;942,7;2,87;63,61
07/10/2022;19,2;não;23,05;não;26,9;não;20,0;não;0;0;;não;;não;2,76;17,18;1,9;256,0;23:00:00;;;934,7;946,1;2,76;66,48
06/10/2022;16,7;não;25,35;não;34,0;não;6,0;não;0;8;29,0;não;100,0;não;5,62;19,25;4,9;212,0;23:00:00;12,8;21,0;934,8;941,7;5,62;49,24
05/10/2022;15,8;não;24,05;não;32,3;não;0,0;não;5;7;32,0;não;99,0;não;5,3;23,0;1,3;119,0;23:00:00;13,4;17,3;938,7;943,8;2,66;48,86
04/10/2022;16,3;não;23,1;não;29,9;não;0,0;não;4;6;37,0;não;100,0;não;4,35;19,5;0,5;165,0;23:00:00;13,1;17,9;938,2;943,1;2,29;51,52
03/10/2022;15,5;não;20,05;não;24,6;não;0,0;não;3;5;56,0;não;98,0;não;2,38;13,19;1,5;146,0;23:00:00;13,9;17,9;940,0;945,4;1,3;53,81
02/10/2022;16,9;não;23,2;não;29,5;não;0,0;não;2;4;;não;;não;4,06;18,71;3,5;214,0;19:00:00;;;942,1;947,1;2,28;55,11
01/10/2022;15,1;não;22,1;não;29,1;não;0,4;não;1;3;;não;;não;4,14;19,89;0,4;172,0;23:00:00;;;942,8;946,7;2,59;57,39
